Battuta;Piano I;Hz;Piano II;Hz;;;
1;A3;220;A3;220;;;
31;A3;Kleine Gliss vmA;;;;;
38;A3;220;;;;;
50;;;A3;Gliss. in Kleinem Bereich (freccia su) Langsam;;;
55;;;A3;220;;;
57;;;A3;Gliss. in Kleinem Bereich (freccia giù) Langsam;;;
58;;;A3;langsame Gliss.;;;
64;A3 gliss. to B3;;;;;;
66;;;A3 gliss. to;;;;
67;;;G3;;;;
93;B3 gliss. ;;;;;;
94;Gis4 ;;;;;;
96;;;G3 gliss. to;;;;
97;gliss. to G4;;Bes2;;;;
100;evtl. hier schon auf gis1;* l’oscillatore philips che usava aveva bottoni di cambio di range quindi con la pressione di un bottone buttava giù a sol#;;;;;
107;G4 gliss. to Gis4;;;;;;
110;Gis4 gliss. to out to ;;;;;;
111;Gliss. to Gis4;;;;;;
122;Gis4 gliss. to E4 gliss. to ;;;;;;
123;Gis4 to E4 to Gis4 to E4 to Gis4 to E4 to ;;;;;;
124;Gis4;;;;;;
132;Gis4 to E4;;;;;;
151;;;Glis to Gis4;Lautstarke wieder normal;;;
176;;;Gis4 to E4 ;;;;
185;;;E4 to D3;;;;
186;E4 gliss. to ;;D3 gliss. ;Gliss. innerhalb gr Selc. langsam;;;
187;Gis4;;D3;;;;
188;Gis4 to E4;;;;;;
201;E4 gliss. to ;;;;;;
202;F4;;;;;;
216;;;D3 gliss. to Cis3;;;;
282;;;Cis3 to E3;;;;
284;F4 Gliss. to D4;innerhalb Kl Terz (freccia giù);;;;;
285;F4 teso poi gliss. discendente;bis tiet untern (al basso);;;;;
286;gliss. ascendente;;;;;;
287;D4;;;;;;
421;D4 poi rapido a A5 poi di nuovo giù etc. ;;E3 to A6 poi di nuovo giù;;c’è un testo lungo in tedesco da tradurre;;
fino a 432;idem;;;;;;
433;D4 poi gliss.  poi D4;;gliss. to E3;;;;
438;;;E3 flies to B2;;;;
447;D4 glass to ;;;;;;
448;gliss. to G4;;;;;;
491;G4 gliss. Ees;;B2 gliss. Ees3;;;;
526;;;Ees3 gliss F3;gliss. ganz allmählich bis F;;;
536;Ees4 gliss. Des4;;;;;;
577;Des4 glass C4;;;;;;
578;ONDE CORTE ON;;;;;;
580;;;F3 glis Ges3;;;;
608;;;Ges3 glis. A3;;;;
610;C4 to Bes3;;;;;;
638;ONDE CORTE OFF;;;;;;
639;;;Ges3 glisa C4;;;;
640;Bes3 gliss. libero;;;;;;
647;continua;hohe gliss to;;;;;
653;glis. to ;;;;;;
654;Fis3;;;;;;
672;Fis3 tenuto poi A3;;;;;;
687;;;C4 gliss to A3;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;